carat,cut,color,clarity,depth,table,price,volume
0.73,Very Good,E,SI1,61.6,59.0,2760,118.73
0.8,Premium,H,SI1,61.5,58.0,2760,129.57
0.75,Very Good,D,SI1,63.2,56.0,2760,121.73
0.75,Premium,E,SI1,59.9,54.0,2760,128.02
0.74,Ideal,G,SI1,61.6,55.0,2760,121.81
0.75,Premium,G,VS2,61.7,58.0,2760,121.6
0.8,Ideal,I,VS1,62.9,56.0,2760,129.71
0.75,Ideal,G,SI1,62.2,55.0,2760,123.59
0.8,Premium,G,SI1,63.0,59.0,2760,126.49
0.74,Ideal,I,VVS2,62.3,55.0,2761,121.02
0.81,Ideal,F,SI2,58.8,57.0,2761,135.06
0.59,Ideal,E,VVS2,62.0,55.0,2761,97.86
0.8,Ideal,F,SI2,61.4,57.0,2761,131.24
0.74,Ideal,E,SI2,62.2,56.0,2761,122.62
0.9,Premium,I,VS2,63.0,58.0,2761,145.9
0.74,Very Good,G,SI1,62.2,59.0,2762,119.72
0.73,Ideal,F,VS2,62.6,56.0,2762,119.23
0.73,Ideal,F,VS2,62.7,53.0,2762,120.73
0.8,Premium,F,SI2,61.7,58.0,2762,130.72
0.71,Ideal,G,VS2,62.4,54.0,2762,117.95
0.7,Ideal,E,VS2,60.7,58.0,2762,115.19
0.8,Ideal,F,SI2,59.9,59.0,2762,132.06
0.71,Ideal,D,SI2,62.3,56.0,2762,116.07
0.74,Ideal,E,SI1,62.3,54.0,2762,122.41
0.7,Very Good,F,VS2,61.7,63.0,2762,109.79
0.7,Fair,F,VS2,64.5,57.0,2762,110.27
0.7,Fair,F,VS2,65.3,55.0,2762,114.98
0.7,Premium,F,VS2,61.6,60.0,2762,109.28
0.91,Premium,H,SI1,61.4,56.0,2763,134.52
0.61,Very Good,D,VVS2,59.6,57.0,2763,103.0
0.91,Fair,H,SI2,64.4,57.0,2763,146.23
0.91,Fair,H,SI2,65.7,60.0,2763,142.67
0.77,Ideal,H,VS2,62.0,56.0,2763,125.64
0.71,Very Good,D,SI1,63.6,58.0,2764,115.33
0.71,Ideal,D,SI1,61.9,59.0,2764,114.89
0.7,Very Good,E,VS2,62.6,60.0,2765,112.09
0.77,Very Good,H,VS1,61.3,60.0,2765,125.24
0.63,Premium,E,VVS1,60.9,60.0,2765,103.24
0.71,Very Good,F,VS1,60.1,62.0,2765,114.59
0.71,Premium,F,VS1,61.8,59.0,2765,115.09
0.76,Ideal,H,SI1,61.2,57.0,2765,125.45
0.64,Ideal,G,VVS1,61.9,56.0,2766,105.46
0.71,Premium,G,VS2,60.9,57.0,2766,116.65
0.71,Premium,G,VS2,59.8,56.0,2766,119.77
0.7,Very Good,D,VS2,61.8,55.0,2767,114.36
0.7,Very Good,F,VS1,60.0,57.0,2767,119.16
0.71,Ideal,D,SI2,61.6,55.0,2767,117.04
0.7,Good,H,VVS2,62.1,64.0,2767,111.14
0.71,Very Good,G,VS1,63.3,59.0,2768,109.0
0.73,Very Good,D,SI1,60.2,56.0,2768,120.46
0.7,Very Good,D,SI1,61.1,58.0,2768,112.86
0.7,Ideal,E,SI1,60.9,57.0,2768,115.52
0.71,Premium,D,SI2,61.7,59.0,2768,113.64
0.74,Ideal,I,SI1,61.3,56.0,2769,121.76
0.71,Premium,D,VS2,62.5,60.0,2770,111.57
0.73,Premium,G,VS2,61.4,59.0,2770,119.55
0.76,Very Good,F,SI1,62.9,57.0,2770,122.79
0.76,Ideal,D,SI2,62.4,57.0,2770,121.98
0.71,Ideal,F,SI1,60.7,56.0,2770,117.47
0.73,Premium,G,VS2,60.7,58.0,2770,121.28
0.73,Premium,G,VS1,61.5,58.0,2770,118.19
0.73,Ideal,D,SI2,59.9,57.0,2770,123.44
0.73,Premium,G,VS2,59.2,59.0,2770,121.28
0.72,Very Good,H,VVS2,60.3,56.0,2771,118.89
0.73,Very Good,F,SI1,61.7,60.0,2771,120.64
0.71,Ideal,G,VS2,61.9,57.0,2771,117.7
0.79,Ideal,F,SI2,61.9,55.0,2771,130.06
0.73,Very Good,H,VVS1,60.4,59.0,2772,121.56
0.8,Very Good,F,SI2,61.0,57.0,2772,133.0
0.58,Ideal,G,VVS1,61.5,55.0,2772,97.64
0.58,Ideal,F,VVS1,61.7,56.0,2772,94.45
0.71,Good,E,VS2,59.2,61.0,2772,118.0
0.75,Ideal,D,SI2,61.3,56.0,2773,124.04
0.7,Premium,D,VS2,58.0,62.0,2773,114.68
1.17,Very Good,J,I1,60.2,61.0,2774,194.63
0.6,Ideal,E,VS1,61.7,55.0,2774,98.59
0.7,Ideal,E,SI1,62.7,55.0,2774,116.72
0.83,Good,I,VS2,64.6,54.0,2774,130.37
0.74,Very Good,F,VS2,61.3,61.0,2775,120.92
0.72,Very Good,G,VS2,63.7,56.4,2776,115.44
0.71,Premium,E,VS2,62.7,58.0,2776,116.72
0.71,Ideal,E,VS2,62.2,57.0,2776,115.52
0.54,Ideal,E,VVS2,61.6,56.0,2776,89.64
0.54,Ideal,E,VVS2,61.5,57.0,2776,89.03
0.72,Ideal,G,SI1,61.8,56.0,2776,116.76
0.72,Ideal,G,SI1,60.7,56.0,2776,118.95
0.72,Good,G,VS2,59.7,60.5,2776,117.54
0.71,Ideal,G,SI1,60.5,56.0,2776,116.93
0.7,Very Good,D,VS1,62.7,58.0,2777,115.78
0.71,Premium,F,VS2,62.1,58.0,2777,114.09
0.71,Very Good,F,VS2,62.8,57.0,2777,114.25
0.71,Good,F,VS2,63.8,58.0,2777,113.59
0.71,Good,F,VS2,57.8,60.0,2777,117.75
0.7,Ideal,E,VS2,62.1,55.0,2777,114.09
0.7,Premium,E,VS2,61.1,60.0,2777,111.75
0.7,Premium,E,SI1,60.0,59.0,2777,115.19
0.7,Premium,E,SI1,61.2,57.0,2777,113.59
0.7,Premium,E,SI1,62.7,59.0,2777,113.0
0.7,Premium,E,SI1,61.0,57.0,2777,113.26
0.7,Premium,E,SI1,61.0,58.0,2777,116.05
0.7,Ideal,E,SI1,61.4,57.0,2777,115.57
0.72,Premium,F,SI1,61.8,61.0,2777,118.31
0.7,Very Good,E,SI1,59.9,63.0,2777,112.61
0.7,Premium,E,SI1,61.3,58.0,2777,113.19
0.7,Premium,E,SI1,60.5,58.0,2777,115.26
0.7,Good,E,VS2,64.1,59.0,2777,113.5
0.98,Fair,H,SI2,67.9,60.0,2777,147.36
0.78,Premium,F,SI1,62.4,58.0,2777,122.74
0.7,Very Good,E,SI1,63.2,60.0,2777,108.3
0.52,Ideal,F,VVS1,61.3,55.0,2778,86.42
0.73,Very Good,H,VS2,60.8,56.0,2779,120.66
0.74,Ideal,E,SI1,61.7,56.0,2779,121.6
0.7,Very Good,F,VS2,63.6,57.0,2780,113.47
0.77,Premium,G,VS2,61.2,58.0,2780,126.65
0.71,Ideal,F,VS2,62.1,54.0,2780,115.01
0.74,Ideal,G,VS1,61.5,55.0,2780,122.23
0.7,Ideal,G,VS1,61.4,59.0,2780,112.79
1.01,Premium,F,I1,61.8,60.0,2781,160.12
0.77,Ideal,H,SI1,62.2,56.0,2781,124.78
0.78,Ideal,H,SI1,61.2,56.0,2781,129.08
0.72,Very Good,H,VS1,60.6,63.0,2782,117.87
0.53,Very Good,D,VVS2,57.5,64.0,2782,88.32
0.76,Ideal,G,VS2,61.3,56.0,2782,127.22
0.7,Good,E,VS1,57.2,62.0,2782,110.96
0.7,Premium,E,VS1,62.9,60.0,2782,109.28
0.75,Very Good,D,SI2,63.1,58.0,2782,120.22
0.72,Ideal,D,SI1,60.8,57.0,2782,115.92
0.72,Premium,D,SI1,62.7,59.0,2782,116.72
0.7,Premium,D,SI1,62.8,60.0,2782,114.45
0.84,Fair,G,SI1,55.1,67.0,2782,137.47
0.75,Premium,F,SI1,61.4,59.0,2782,123.83
0.52,Ideal,F,IF,62.2,55.0,2783,85.47
0.72,Very Good,F,VS2,63.0,54.0,2784,117.37
0.79,Very Good,H,VS1,63.7,56.0,2784,129.87
0.72,Very Good,F,VS2,63.6,58.0,2787,116.26
0.51,Ideal,F,VVS1,62.0,57.0,2787,83.69
0.64,Ideal,D,VS1,61.5,56.0,2787,104.85
0.7,Very Good,H,VVS1,60.5,60.0,2788,115.26
0.83,Very Good,I,VS1,61.1,60.0,2788,137.74
0.76,Ideal,I,VVS2,61.8,56.0,2788,124.31
0.71,Good,D,VS2,63.3,56.0,2788,114.69
0.77,Good,G,VS1,59.4,64.0,2788,124.76
0.71,Ideal,F,SI1,62.5,55.0,2788,114.53
1.01,Fair,E,I1,64.5,58.0,2788,157.42
1.01,Premium,H,SI2,62.7,59.0,2788,154.25
0.77,Good,F,SI1,64.2,52.0,2789,124.71
0.76,Good,E,SI1,63.7,54.0,2789,124.68
0.76,Premium,E,SI1,60.4,58.0,2789,125.89
0.76,Premium,E,SI1,61.8,58.0,2789,123.12
1.05,Very Good,J,SI2,63.2,56.0,2789,171.21
0.81,Ideal,G,SI2,61.6,56.0,2789,132.4
0.7,Ideal,E,SI1,61.6,56.0,2789,116.1
0.55,Ideal,G,IF,60.9,57.0,2789,90.11
0.81,Good,G,SI2,61.0,61.0,2789,129.51
0.63,Premium,E,VVS2,62.1,57.0,2789,100.21
0.63,Premium,E,VVS1,60.9,60.0,2789,103.24
0.77,Premium,H,VS1,61.3,60.0,2789,125.24
1.05,Fair,J,SI2,65.8,59.0,2789,168.0
0.64,Ideal,G,IF,61.3,56.0,2790,105.41
0.76,Premium,I,VVS1,58.8,59.0,2790,125.1
0.83,Ideal,F,SI2,62.3,55.0,2790,136.94
0.71,Premium,F,VS1,60.1,62.0,2790,114.59
0.71,Premium,F,VS1,61.8,59.0,2790,115.09
0.87,Very Good,I,SI1,63.6,55.8,2791,143.29
0.73,Ideal,E,SI1,62.2,56.0,2791,118.77
0.71,Premium,E,SI1,59.2,59.0,2792,118.21
0.71,Premium,E,SI1,61.8,59.0,2792,116.02
0.71,Ideal,E,SI1,61.3,55.0,2792,116.18
0.7,Premium,F,VS1,62.1,60.0,2792,113.88
0.7,Premium,F,VS1,60.7,60.0,2792,116.32
0.76,Premium,H,VVS2,59.6,57.0,2792,121.56
0.7,Ideal,F,VS1,62.2,56.0,2792,115.54
0.79,Very Good,G,SI1,60.6,57.0,2793,132.27
0.7,Very Good,E,VS2,62.9,57.0,2793,114.97
0.7,Good,E,VS2,64.1,55.0,2793,114.42
0.76,Ideal,I,VS2,61.3,56.0,2793,125.24
0.73,Ideal,H,VS2,62.7,55.0,2793,118.61
0.79,Very Good,E,SI1,63.2,56.0,2794,128.83
0.71,Very Good,E,VS2,60.7,56.0,2795,119.36
0.81,Premium,I,VVS2,61.9,60.0,2795,126.06
0.81,Ideal,F,SI2,62.6,55.0,2795,131.25
0.72,Good,F,VS1,60.7,60.0,2795,114.26
0.72,Premium,D,SI2,62.0,60.0,2795,115.42
0.72,Premium,I,IF,63.0,57.0,2795,117.37
0.81,Premium,H,VS2,58.0,59.0,2795,135.02
0.72,Premium,G,VS2,62.9,57.0,2795,115.9
1.0,Premium,I,SI2,58.2,60.0,2795,165.82
0.73,Good,E,SI1,63.2,58.0,2796,118.85
0.81,Very Good,H,SI2,61.3,59.0,2797,130.66
0.81,Very Good,E,SI1,60.3,60.0,2797,135.89
0.71,Premium,D,SI1,62.7,60.0,2797,115.58
0.71,Premium,D,SI1,61.3,58.0,2797,115.98
0.71,Premium,D,SI1,61.6,60.0,2797,114.97
0.57,Ideal,F,VVS2,61.9,55.0,2797,94.56
0.51,Ideal,D,VVS1,61.7,56.0,2797,83.75
0.72,Ideal,G,VS2,61.9,58.0,2797,116.76
0.74,Ideal,H,VS1,61.8,58.0,2797,120.01
0.74,Ideal,H,VS1,61.6,56.0,2797,121.05
0.7,Fair,G,VVS1,58.8,66.0,2797,117.92
0.8,Premium,F,SI2,61.0,57.0,2797,133.0
1.01,Fair,E,SI2,67.4,60.0,2797,154.67
0.8,Very Good,H,VS2,63.4,60.0,2797,128.17
0.77,Ideal,I,VS1,61.5,59.0,2798,125.58
0.83,Very Good,E,SI2,58.0,62.0,2799,139.66
0.82,Ideal,F,SI2,62.4,54.0,2799,134.41
0.78,Ideal,D,SI1,61.9,57.0,2799,126.06
0.6,Very Good,G,IF,61.6,56.0,2800,99.32
0.9,Good,I,SI2,62.2,59.0,2800,140.56
0.7,Premium,E,VS1,62.2,58.0,2800,110.94
0.9,Very Good,I,SI2,61.3,56.0,2800,146.07
0.83,Ideal,G,SI1,62.3,57.0,2800,136.94
0.83,Ideal,G,SI1,61.8,57.0,2800,136.89
0.83,Very Good,H,SI1,62.5,59.0,2800,133.96
0.74,Premium,G,VS1,62.9,60.0,2800,117.05
0.79,Ideal,I,VS1,61.8,59.0,2800,129.27
0.61,Ideal,G,IF,62.3,56.0,2800,100.32
0.76,Fair,G,VS1,59.0,70.0,2800,118.2
0.96,Ideal,F,I1,60.7,55.0,2801,158.43
0.73,Ideal,F,VS2,62.5,55.0,2801,120.6
0.73,Premium,F,VS2,62.7,58.0,2801,117.87
0.75,Ideal,H,SI1,60.4,57.0,2801,126.88
0.71,Premium,F,VS2,62.1,58.0,2801,114.09
0.71,Good,F,VS2,57.8,60.0,2801,117.75
0.71,Good,F,VS2,63.8,58.0,2801,113.59
0.71,Premium,F,VS2,62.8,57.0,2801,114.25
1.04,Premium,G,I1,62.2,58.0,2801,165.63
1.0,Premium,J,SI2,62.3,58.0,2801,162.75
0.87,Very Good,G,SI2,59.9,58.0,2802,143.46
0.53,Ideal,F,IF,61.9,54.0,2802,88.79
0.72,Premium,E,VS2,63.0,55.0,2802,116.61
0.72,Premium,F,VS1,62.4,58.0,2802,119.63
0.7,Very Good,F,VS2,62.9,58.0,2803,112.92
0.74,Very Good,E,SI1,63.5,56.0,2803,121.64
0.71,Ideal,G,VS2,61.3,56.0,2803,115.24
0.73,Ideal,E,SI1,60.6,54.0,2803,122.11
0.7,Good,G,VS1,65.1,58.0,2803,112.82
0.71,Premium,F,VS2,62.6,58.0,2803,115.06
0.71,Premium,F,VS2,58.0,62.0,2803,114.88
0.71,Premium,G,VS1,62.4,61.0,2803,114.01
0.77,Premium,G,VS2,61.3,57.0,2803,126.22
0.71,Premium,G,VS2,59.9,60.0,2803,116.33
0.78,Premium,G,VS2,60.8,58.0,2803,130.6
0.71,Very Good,G,VS1,63.5,55.0,2803,114.6
0.91,Ideal,D,SI2,62.2,57.0,2803,147.04
0.71,Very Good,E,VS2,63.8,58.0,2804,114.51
0.71,Very Good,E,VS2,64.0,57.0,2804,116.7
0.8,Very Good,E,SI2,62.5,56.0,2804,129.67
0.7,Very Good,D,SI1,62.3,58.0,2804,116.07
0.72,Ideal,F,VS1,61.7,57.0,2804,117.58
0.72,Very Good,F,VS1,62.2,58.0,2804,116.68
0.82,Ideal,H,VS2,61.5,56.0,2804,135.93
0.7,Ideal,D,SI1,61.0,59.0,2804,112.34
0.72,Ideal,D,SI1,62.2,56.0,2804,118.57
0.72,Ideal,D,SI1,61.5,54.0,2804,119.14
0.9,Fair,I,SI1,67.3,59.0,2804,137.14
0.74,Premium,F,VS2,61.7,58.0,2805,121.39
0.74,Premium,F,VS2,61.9,56.0,2805,119.81
0.73,Ideal,E,SI2,61.8,58.0,2805,120.01
0.57,Fair,E,VVS1,58.7,66.0,2805,91.63
0.73,Premium,F,VS2,62.5,57.0,2805,117.33
0.72,Ideal,G,VS2,62.8,56.0,2805,117.46
0.74,Fair,F,VS2,61.1,68.0,2805,118.13
0.82,Good,G,VS2,64.0,57.0,2805,131.8
0.81,Very Good,G,SI1,62.5,60.0,2806,129.1
0.75,Very Good,H,VVS1,60.6,58.0,2806,122.87
0.7,Ideal,F,SI1,61.6,55.0,2806,115.9
0.71,Very Good,F,VS1,62.2,58.0,2807,114.61
0.71,Very Good,F,VS1,60.0,57.0,2807,121.29
0.93,Premium,J,SI2,61.9,57.0,2807,147.61
0.8,Very Good,H,VS2,62.8,57.0,2808,128.36
0.7,Very Good,F,VS1,62.0,57.0,2808,113.36
1.0,Fair,G,I1,66.4,59.0,2808,152.68
0.75,Very Good,G,VS2,63.4,56.0,2808,121.1
0.58,Ideal,E,VVS2,60.9,56.0,2808,96.94
0.73,Very Good,D,SI1,63.1,57.0,2808,118.11
0.81,Very Good,F,SI1,63.1,59.0,2809,124.31
0.81,Premium,D,SI2,59.2,57.0,2809,134.32
0.71,Premium,F,SI1,60.7,54.0,2809,119.57
1.2,Fair,F,I1,64.6,56.0,2809,194.08
0.7,Very Good,F,VS1,61.8,56.0,2810,112.32
0.7,Very Good,F,VS1,59.9,60.0,2810,117.26
0.74,Ideal,D,SI2,61.7,55.0,2810,122.36
0.7,Good,F,VS1,62.8,61.0,2810,109.68
0.8,Good,G,SI1,62.7,57.0,2810,127.79
0.75,Very Good,F,SI1,63.4,58.0,2811,119.93
0.83,Very Good,D,SI1,63.5,54.0,2811,134.85
1.0,Fair,J,VS2,65.7,59.0,2811,149.45
0.99,Fair,I,SI2,68.1,56.0,2811,157.3
0.7,Very Good,G,VS1,63.0,60.0,2812,110.89
0.7,Very Good,F,VS2,59.5,58.0,2812,116.05
0.7,Good,E,SI1,63.5,59.0,2812,106.26
0.7,Very Good,F,VS2,61.7,58.0,2812,111.8
0.32,Premium,I,SI1,62.7,58.0,554,51.78
0.32,Premium,I,SI1,62.8,58.0,554,52.2
0.32,Ideal,I,SI1,62.4,57.0,554,51.71
0.32,Premium,I,SI1,61.0,59.0,554,51.1
0.32,Very Good,I,SI1,63.1,56.0,554,52.83
0.32,Ideal,I,SI1,60.7,57.0,554,53.34
0.3,Premium,H,SI1,60.9,59.0,554,48.44
0.3,Premium,H,SI1,60.1,55.0,554,50.99
0.3,Premium,H,SI1,62.9,58.0,554,48.63
0.3,Very Good,H,SI1,63.3,56.0,554,49.64
0.3,Good,H,SI1,63.8,55.0,554,48.31
0.3,Ideal,H,SI1,62.9,57.0,554,48.11
0.3,Very Good,H,SI1,63.4,60.0,554,48.36
0.32,Good,I,SI1,63.9,55.0,554,52.6
0.33,Ideal,H,SI2,61.4,56.0,554,68.53
0.29,Very Good,E,VS1,61.9,55.0,555,49.3
0.29,Very Good,E,VS1,62.4,55.0,555,46.95
0.31,Very Good,F,SI1,61.8,58.0,555,50.36
0.34,Ideal,H,VS2,61.5,56.0,555,55.52
0.34,Ideal,H,VS2,60.4,57.0,555,57.06
0.34,Ideal,I,VS1,61.8,55.0,555,56.29
0.34,Ideal,I,VS1,62.0,56.0,555,57.08
0.3,Ideal,G,VS1,62.3,56.0,555,49.55
0.29,Ideal,F,VS1,61.6,56.0,555,48.47
0.35,Ideal,G,SI1,60.6,56.0,555,57.85
0.43,Very Good,E,I1,58.4,62.0,555,71.63
0.32,Very Good,F,VS2,61.4,58.0,556,52.15
0.36,Ideal,I,VS2,61.9,56.0,556,58.51
0.3,Ideal,G,VS2,62.0,56.0,556,48.95
0.26,Ideal,E,VS1,61.5,57.0,556,42.46
0.7,Very Good,F,VS2,62.3,58.0,2812,114.2
0.7,Very Good,F,VS2,60.9,61.0,2812,111.82
0.71,Ideal,D,SI1,62.4,57.0,2812,115.87
0.99,Fair,J,SI1,55.0,61.0,2812,164.95
0.73,Premium,E,VS2,58.6,60.0,2812,120.65
0.51,Ideal,F,VVS1,62.0,57.0,2812,83.69
0.91,Premium,G,SI2,59.8,58.0,2813,149.39
0.84,Very Good,E,SI1,63.4,55.0,2813,135.3
0.91,Good,I,VS2,64.3,58.0,2813,143.69
0.76,Premium,E,SI1,62.2,59.0,2814,123.59
0.76,Ideal,E,SI1,61.7,57.0,2814,124.52
0.75,Premium,E,SI1,61.1,59.0,2814,121.96
0.55,Very Good,D,VVS1,61.5,56.0,2815,89.03
0.76,Very Good,F,SI2,58.5,62.0,2815,124.38
0.74,Premium,G,VS1,61.7,58.0,2815,120.43
0.7,Ideal,H,SI1,60.4,56.0,2815,116.59
0.7,Ideal,H,SI1,61.4,56.0,2815,115.57
0.7,Ideal,H,SI1,61.5,55.0,2815,117.45
0.7,Ideal,H,SI1,61.4,56.0,2815,116.51
0.9,Fair,J,VS2,65.0,56.0,2815,144.69
0.95,Fair,F,SI2,56.0,60.0,2815,159.08
0.89,Premium,H,SI2,60.2,59.0,2815,146.64
0.72,Premium,E,VS2,58.3,58.0,2815,123.05
0.96,Fair,E,SI2,53.1,63.0,2815,158.88
1.02,Premium,G,I1,60.3,58.0,2815,167.75
0.78,Very Good,I,VVS2,61.4,56.0,2816,128.0
0.61,Ideal,G,VVS2,60.1,57.0,2816,101.53
0.71,Good,D,VS1,63.4,55.0,2816,114.28
0.78,Premium,F,SI1,61.5,59.0,2816,127.56
0.87,Ideal,H,SI2,62.7,56.0,2816,145.38
0.83,Ideal,H,SI1,62.5,55.0,2816,136.26
0.71,Premium,E,SI1,61.3,56.0,2817,116.91
0.71,Ideal,I,VVS2,60.2,56.0,2817,121.42
0.71,Ideal,E,VS2,62.7,57.0,2817,113.01
0.71,Premium,E,VS2,62.3,58.0,2817,113.48
0.63,Ideal,F,VVS2,61.5,56.0,2817,102.24
0.71,Premium,E,SI1,59.2,59.0,2817,118.21
0.71,Premium,E,SI1,61.8,59.0,2817,116.02
0.71,Ideal,E,SI1,61.3,55.0,2817,116.18
0.71,Premium,E,SI1,61.4,58.0,2817,116.71
0.9,Ideal,J,VS2,62.8,55.0,2817,148.18
0.71,Good,E,SI1,62.8,64.0,2817,108.58
0.7,Premium,E,VS2,62.4,61.0,2818,112.17
0.7,Premium,E,VS2,59.3,60.0,2818,112.94
0.7,Premium,E,VS2,63.0,60.0,2818,111.81
1.0,Premium,H,I1,61.3,60.0,2818,161.47
0.86,Premium,F,SI2,59.3,62.0,2818,147.56
0.8,Ideal,H,SI1,61.0,57.0,2818,134.03
0.7,Ideal,E,VS1,62.9,57.0,2818,112.4
0.7,Premium,E,VS1,59.6,57.0,2818,120.59
0.7,Premium,F,VS2,61.8,60.0,2818,112.32
0.7,Premium,E,VS1,62.7,57.0,2818,113.72
1.0,Fair,H,SI2,65.3,62.0,2818,158.31
0.72,Very Good,G,VS1,63.8,58.0,2819,115.65
0.72,Ideal,H,VS1,62.3,56.0,2819,118.36
0.7,Good,F,VS1,59.7,63.0,2819,115.06
